PuzzleId,FEN,Moves,Rating,Themes
0Lk0h,3r1b2/2kn1R2/2p1Q1p1/Np1pP3/p2P4/2P1q3/PP5r/1K1R4 b - - 7 29,e3e2 e6c6 c7b8 c6b7,1224,mate mateIn2 middlegame short
06LGK,2r3k1/6p1/R4p1p/1p3P2/3p1bP1/P2P1N1P/1P6/6K1 w - - 1 30,f3d4 f4e3 g1g2 e3d4,1312,advantage endgame fork short
0Iilp,r3r3/1p2b3/1k1p3p/pNPQ2p1/P4p2/6B1/3K1PPP/7q b - - 0 34,d6c5 d5e6 e7d6 e6d6,1231,epauletteMate mate mateIn2 middlegame short
0KU0r,8/b2k2pp/N4p2/1p6/1Pn5/1Q4BP/P2q2P1/7K b - - 0 33,c4e3 b3f7 d7c6 f7c7,1580,crushing endgame short
0AItS,r1b1k2r/ppp2ppp/5q2/8/1n2P3/2NPQ3/PP2N1PP/R3K2R w KQkq - 3 13,a1d1 b4c2 e1d2 c2e3,1092,crushing fork middlegame short
041LR,3r2rk/p5pp/Bp6/3b1p2/P2qp2P/6P1/3N1PK1/2RQR3 b - - 1 27,d4d2 d1d2 e4e3 d2d5,976,crushing hangingPiece middlegame short
0KJgY,rn2kb1r/ppp1n2p/5pq1/3p1b2/3P3Q/8/PPP1BPPP/RNB1R1K1 b kq - 2 10,b8c6 e2h5 e8c8 h5g6,1185,advantage opening pin short
0QILD,8/7p/6p1/4R3/1P2Pk2/3K4/7r/8 w - - 1 42,d3d4 h2d2 d4c3 f4e5,1228,crushing deflection endgame rookEndgame short
0UNd6,r6k/p1p1PQnp/2q4b/3p4/8/1P6/P1P3PP/7K b - - 0 31,c6c2 f7f8 a8f8 e7f8q,1083,advancedPawn endgame mate mateIn2 promotion short
0BXci,r1n2rk1/p4p2/6pB/2pNpb1p/3b4/P4B1P/1P3PP1/R4RK1 b - - 1 20,f8d8 d5f6 g8h8 f3a8,1333,advantage discoveredAttack middlegame short
0BuC1,8/8/4kppp/8/4KPPP/8/8/8 b - - 4 48,f6f5 g4f5 g6f5 e4d4,1642,crushing defensiveMove endgame pawnEndgame short
07jVz,8/1p1r1kpp/pR6/P5b1/1P3p2/2P5/3NK1PP/8 b - - 6 37,d7d2 e2d2 f4f3 d2e1,1173,advantage defensiveMove endgame hangingPiece master masterVsMaster short
0EhWP,8/8/1P5p/4k2K/5p2/8/8/8 b - - 0 43,f4f3 b6b7 f3f2 b7b8q,925,advancedPawn crushing endgame pawnEndgame promotion short
06xt9,8/k4R2/p1r5/2N2pP1/4pP2/4K3/1r6/8 b - - 3 44,a7b6 c5a4 b6b5 a4b2,1472,crushing endgame fork master masterVsMaster short
0RI7y,3R2k1/p1p1p1bp/1p4p1/4P3/5r2/1P6/PBP3P1/2K5 b - - 0 23,g8f7 e5e6 f7e6 b2g7,1028,advantage deflection discoveredAttack endgame short
0CY1W,r4k2/p1p2pRp/2p1pQ2/4P2p/8/8/P1q2PP1/6K1 b - - 3 25,c2f5 g7f7 f8g8 f6g7,1308,endgame mate mateIn2 short
0Yxrq,r4rk1/p2b1pb1/4pn1p/q2p4/3B1N1P/2N3Q1/PP4P1/R1R3K1 b - - 3 24,f6e8 d4g7 e8g7 f4h5,1848,crushing master middlegame pin short
0NQWh,3rrk2/p4p2/3p1q1p/2b5/6RN/3Q4/P4PPP/5RK1 w - - 8 28,d3h7 f6f2 f1f2 e8e1,1633,mate mateIn2 middlegame pin sacrifice short
0SjA5,1k1r3r/1p1qnppp/3bpn2/Q1p5/2PP4/4B2P/4NPP1/RR4K1 b - - 1 20,e7c6 a5a8 b8c7 a8b7,973,mate mateIn2 middlegame queensideAttack short
0PBWD,2rr2k1/p3qpp1/1p3nbp/3pB3/2P5/1B3Q1P/P4PP1/2R1R1K1 w - - 0 23,c4d5 c8c1 e1c1 e7e5,1430,advantage middlegame short
0KvD7,1r2k2r/p1pb1pp1/5q1p/2Qp4/8/2P5/P1B2PPP/R3K1NR w KQk - 0 15,c5d5 f6c3 d5d2 c3a1,1109,crushing fork middlegame short
0UdvS,8/p4ppp/4k3/6P1/1pNK4/1P6/P1b4P/8 b - - 3 32,e6f5 c4e3 f5g5 e3c2,997,advantage endgame fork master short
0a8Nc,2r4k/p5p1/1p4n1/7p/3B4/2P2rPK/P4P1P/R3R3 w - - 0 23,e1e6 g6f4 h3h4 f4e6,937,advantage endgame pin short
0CGoR,8/pp3Qqk/2p4p/4p3/8/P2P1P2/1PP5/1K6 w - - 2 36,f7c4 g7g1 b1a2 g1g8,1895,crushing endgame queenEndgame short
0ELme,6k1/1p2r1p1/p1p1q2p/4b3/5p2/1P6/P1Q1BPP1/4R1K1 b - - 3 34,e5f6 e2c4 e6c4 c2c4,1181,crushing endgame master pin short
